t_s,leg,state,phase_elapsed_s,cmd_vx,cmd_vy,cmd_wz,raw_vx,raw_vy,raw_wz,enc_dist_m,imu_yaw_deg,est_x,est_y,est_yaw_deg,event
0.051,0,WARMUP,0.051,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.101,0,WARMUP,0.102,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.151,0,WARMUP,0.151,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.201,0,WARMUP,0.202,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.252,0,WARMUP,0.252,0.000,0.000,-0.500,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.301,0,WARMUP,0.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.351,0,WARMUP,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.401,0,WARMUP,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.451,0,WARMUP,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.501,0,WARMUP,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.551,0,WARMUP,0.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.601,0,WARMUP,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.651,0,WARMUP,0.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.701,0,WARMUP,0.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.751,0,WARMUP,0.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.804,0,WARMUP,0.804,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,FIN_WARMUP
0.805,0,DRIVE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.852,0,DRIVE,0.047,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.902,0,DRIVE,0.097,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
0.952,0,DRIVE,0.147,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.002,0,DRIVE,0.197,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.054,0,DRIVE,0.250,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.102,0,DRIVE,0.297,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.152,0,DRIVE,0.348,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.202,0,DRIVE,0.397,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.252,0,DRIVE,0.447,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.304,0,DRIVE,0.500,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.352,0,DRIVE,0.547,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.402,0,DRIVE,0.597,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.452,0,DRIVE,0.647,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.502,0,DRIVE,0.697,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.554,0,DRIVE,0.750,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.602,0,DRIVE,0.797,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.652,0,DRIVE,0.847,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.702,0,DRIVE,0.897,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.752,0,DRIVE,0.947,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.804,0,DRIVE,1.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.852,0,DRIVE,1.047,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.902,0,DRIVE,1.097,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
1.952,0,DRIVE,1.147,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.002,0,DRIVE,1.197,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.054,0,DRIVE,1.250,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.101,0,DRIVE,1.297,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.152,0,DRIVE,1.347,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.202,0,DRIVE,1.397,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.252,0,DRIVE,1.447,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.305,0,DRIVE,1.500,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.352,0,DRIVE,1.547,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.402,0,DRIVE,1.597,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.452,0,DRIVE,1.647,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.502,0,DRIVE,1.697,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.554,0,DRIVE,1.750,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.602,0,DRIVE,1.798,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.651,0,DRIVE,1.847,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.702,0,DRIVE,1.897,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.752,0,DRIVE,1.947,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.804,0,DRIVE,2.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.852,0,DRIVE,2.047,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.902,0,DRIVE,2.097,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
2.952,0,DRIVE,2.147,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.002,0,DRIVE,2.197,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.054,0,DRIVE,2.250,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.101,0,DRIVE,2.297,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.151,0,DRIVE,2.347,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.202,0,DRIVE,2.397,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.252,0,DRIVE,2.447,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.304,0,DRIVE,2.500,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.352,0,DRIVE,2.547,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.402,0,DRIVE,2.597,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.452,0,DRIVE,2.647,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.502,0,DRIVE,2.697,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.554,0,DRIVE,2.750,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.602,0,DRIVE,2.797,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.652,0,DRIVE,2.847,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.702,0,DRIVE,2.897,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.752,0,DRIVE,2.947,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.804,0,DRIVE,3.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.852,0,DRIVE,3.047,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.902,0,DRIVE,3.097,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
3.952,0,DRIVE,3.147,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.002,0,DRIVE,3.197,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.054,0,DRIVE,3.250,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.102,0,DRIVE,3.297,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.152,0,DRIVE,3.347,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.202,0,DRIVE,3.397,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.252,0,DRIVE,3.447,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.304,0,DRIVE,3.500,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.352,0,DRIVE,3.547,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.402,0,DRIVE,3.597,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.452,0,DRIVE,3.647,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.502,0,DRIVE,3.697,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.554,0,DRIVE,3.750,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.602,0,DRIVE,3.797,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.652,0,DRIVE,3.847,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.702,0,DRIVE,3.897,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.752,0,DRIVE,3.947,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.804,0,DRIVE,4.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.852,0,DRIVE,4.047,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.902,0,DRIVE,4.097,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
4.952,0,DRIVE,4.147,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
5.002,0,DRIVE,4.197,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
5.054,0,DRIVE,4.250,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
5.102,0,DRIVE,4.297,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
5.152,0,DRIVE,4.347,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
5.202,0,DRIVE,4.397,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
5.252,0,DRIVE,4.447,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
5.304,0,DRIVE,4.500,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.000,0.000,0.0,
